,ProductName,spacyProcessedReviews,finalprocessed
0,Avene Cicalfate+ Restorative Protective Cream 100ml - Multi-purpose Repair cream,"['skin cream', 'soothing skin recovery cream', 'dry skin', 'sensitive dry skin', 'sensitive skin', 'skin', 'skins', 'skin avene', 'winter skin', 'red skin', 'skin irritations', 'dry facial skin', 'dry irritated skin', 'damaged dry skin', 'skin burns', 'dry skin wounds', 'irritated skin', 'rough dry skin', 'healthy skin', 'clear skin']","['dry skin', 'redness prone skin', 'smoothen skin', 'sensitive skin', 'allergic skin', 'refresh', 'aging skin']"
2,Avene Thermal Spring Water 300ml - Mist for Sensitive skin,"['skin care products', 'sensitive skin spring water', 'good skin', 'sensitive skin', 'dry skin', 'skin', 'skins', 'summer skin', 'skin irritation', 'skin irritations', 'prone skin', 'skin feeling', 'irritated skin', 'work skin', 'skin issues', 'healthy skin', 'itchy skin', 'oily skin', 'hypersensitive skin', 'moisturising skin']","['oily skin', 'dry skin', 'sensitive skin', 'allergic skin', 'refresh']"
3,Avene XeraCalm A.D Lipid-Replenishing Balm 400ml,"['sensitive skin skin issues', 'dry skin', 'sensitive dry skin', 'skin face', 'eczema prone skin', 'sensitive skin', 'sensitive eczema prone skin', 'skin', 'dry itchy skin', 'parched dry skin', 'prone skin', 'acne dry sensitive skin', 'skin dryness', 'itchy skin', 'healthy skin', 'itchy sensitive skin', 'dewy skin', 'moisturized skin', 'crepe skin', 'sensitive reactive skin']","['dry skin', 'acne skin', 'sensitive skin', 'allergic skin', 'refresh']"
4,La Roche Posay Anthelios Invisible Fluid SPF 50+ 50ml,"['greasy skin', 'sensitive skin', 't irritate sensitive skin', 'other skin', 'skin', 'oily skin', 'skin light', 'happy skin', 'combination skin', 'skin community', 'skin types', 'dry skin', 'kids skin', 'healthy skin', 'similar skin', 'fair skin', 'skin cancer', 'sensitive combination skin', 'atopic skin', 'sensitive skin types']","['oily skin', 'dry skin', 'tone evening skin', 'Combination skin', 'sensitive skin', 'allergic skin', 'refresh']"
5,La Roche Posay Cicaplast Baume B5+ 100ml,"['dry skin', 'dry sensitive skin', 'skin', 'irritated skin', 'sensitive skin', 'skin dryness', 'sore dry irritated skin', 'damaged skin', 'skin comfort', 'skin issues', 'rough skin', 'oily skin', 'compromised skin', 'skin folds', 'sunburnt skin', 'skin feeling', 'harsh skin treatments', 'cracked winter skin', 'drier skin types', 'untreated skin size']","['oily skin', 'dry skin', 'sensitive skin', 'protect skin', 'allergic skin', 'aging skin']"
6,La Roche Posay Cicaplast Baume B5+ 40ml,"['post procedure skin skin', 'skin products', 'dry skin', 'skin', 'sensitive skin', 'skin hydration', 'skin recovery', 'agree skin', 'skin health', 'conbination skin', 'different skin care', 'dry skin cicaplast baume b5 balm cream', 'skin barrier benefits vitamin b5', 'natural skin renewal madecassoside', 'optimal skin moisture barrier recovery', 'this multi purpose dry skin cream', 'really dry skin', 'very dry skin', 'the skin moisture barrier', 'vitamin b5 panthenol panthenol']","['dry skin', 'refresh', 'sensitive skin', 'hydrate skin']"
7,La Roche Posay Cicaplast Mask B5 Sheet Mask 25g,"['sheet mask', 'sheet masks', 'face masks', 'soothing sheet mask', 'dry skin', 'sensitive skin', 'dry sensitive skin', 'sensitive dry skin', 'mask', 'masks', 'most sheet masks', 'many sheet masks', 'hydrating mask', 'skin', 'cicaplast b5 sheet mask', 'softer skin', 'other masks', 'sensitive skin ingredients', 'skin irritations', 'normal masks']","['dry skin', 'redness prone skin', 'mask', 'smoothen skin', 'sensitive skin', 'hydrate skin', 'allergic skin']"
8,La Roche Posay Effaclar Duo Plus 40ml,"['skin clearing product', 'skin smooth great product', 'overall good product skin', 'amazing skin care product', 'skin', 'looking skin', 'skin texture', 'oily skin', 'blemish prone skin great product', 'smooth skin', 'sensitive skin', 'prone skin', 'clearing skin', 'clear skin', 'clearer skin', 'dry skin', 'combination skin', 'greasy skin', 'new skin', 'skin improvement']","['oily skin', 'dry skin', 'acne skin', 'Combination skin', 'smoothen skin', 'sensitive skin']"
9,La Roche Posay Effaclar Foaming Gel 400ml,"['combination skin skin', 'skin products', 'oily skin', 'oily skins', 'wonderful skin products', 'oily skin specific products', 'skin', 'oil skin', 'oily combination skin', 'sensitive skin', 'sensitive skins', 'prone skin', 'dry skin', 'oily skin doesn', 'combination skin', 'combinations skin', 'clear skin', 'good skin texture', 'skin care', 'oily acne prone skin']","['oily skin', 'dry skin', 'acne skin', 'Combination skin', 'sensitive skin']"
11,La Roche Posay Retinol B3 Anti-Ageing Serum 30ml,"['product skin', 'serum skin', 'skin community retinol', 'great skin', 'night skin', 'skin', 'sensitive skin', 'softer skin', 'skin texture', 'using retinol', 'irritation skin', 'skin irritation', 'dry skin', 'new skin', 'ageing skin', 'aging skin', 'skin tone', 'skin community', 'skin care', 'smoothed skin']","['dry skin', 'tone evening skin', 'smoothen skin', 'sensitive skin', 'allergic skin', 'aging skin']"
12,La Roche-Posay Anthelios XL Dry Touch SPF50+ Sunscreen For Oily Skin 50ml,"['oily skin', 'oily combination skin', 'sensitive skin doesn t', 'sensitive skin', 'super oily skin', 'dry skin', 'skin', 'oily skin fantastic cream', 'dry sensitive skin', 'combination skin', 'oil skin', 'skin oil', 'skin community', 'darker skin', 'acne prone oily skin', 'oily acne prone skin', 'normal skin', 'fair skin', 'fairer skin', 'oily spot prone skin']","['oily skin', 'dry skin', 'acne skin', 'tone evening skin', 'Combination skin', 'sensitive skin']"
13,La Roche-Posay Cicaplast Lip Barrier Balm 7.5ml,"['cicaplast lips hydrationrestore lip balm', 'lip balm', 'lip balms', 'dry lips', 'best lip balm', 'lip', 'lips', 'other lip balms', 'better lip balm', 'most lip balms', 'ordinary lip balm', 'luxury lip balms', 'lush lip balms', 'chapped lips', 'dry sensitive lips', 'dry peeling lips', 'cicaplast lips', 'such dry lips', 'winter lips', 'lip creams']","['lip balm', 'dry skin', 'sensitive skin', 'hydrate skin']"
14,La Roche-Posay Effaclar Purifying Foaming Gel Anti-Acne Cleanser 200mL,"['combination skin skin', 'skin products', 'skin cleansers', 'oily skin good product', 'wonderful skin products', 'oily skin', 'oily skins', 'oily skin specific products', 'skin', 'oil skin', 'sensitive skin', 'sensitive skins', 'prone skin', 'dry skin', 'acne skin', 'oily combination skin', 'oily skin doesn', 'clear skin', 'combination skin', 'combinations skin']","['oily skin', 'dry skin', 'acne skin', 'Combination skin', 'sensitive skin', 'refresh']"
15,La Roche-Posay Hyalu B5 Hyaluronic Acid Anti-Ageing Serum 30ml,"['dry skin skin', 'skin levae skin', 'skin care products', 'other skin care product', 'anti aging skin products', 'skin', 'skins', 'dry skin', 'dry face skin', 'hydrated skin', 'soft skin', 'sensitive skin', 'sensitive skins', 'skin texture', 'skin moisture', 'skin hydration', 'skin care', 'better skin', 'skin feeling', 'application skin']","['dry skin', 'smoothen skin', 'sensitive skin', 'hydrate skin', 'aging skin']"
16,La Roche-Posay Redermic Vitamin C10 Serum 30ml,"['skin texture skin tone', 'great product skin', 'other skin products', 'skin care products', 'less skin products', 'face skin', 'youthful skin vitamin c', 'good skin', 'skin', 'best affordable vitamin c skin', 'skin texture', 'sensitive skin', 'sensitive skins', 'smooth skin', 'brighter skin', 'dry skin', 'skin tone', 'skin care', 'skin radiance', 'oily skin']","['oily skin', 'dry skin', 'tone evening skin', 'smoothen skin', 'sensitive skin', 'aging skin']"
18,La Roche-Posay Toleriane Caring Wash Cleanser 200ml,"['dry sensitive skin', 'sensitive dry skin', 'sensitive skin', 'dry skin', 'skin', 'dry skin types', 'sensitive skin toleriane caring face wash', 'dry skin doesn t', 'skin irritations', 'normal skin', 'fresh clean skin', 'fresh soft skin', 'acne prone sensitive skin', 'painful burning skin', 'atopic skin vitamin b5 panthenol', 'gentle face wash makeup remover', 'multiple gentle cleansers', 'hot great product', 'product', 'products']","['dry skin', 'acne skin', 'smoothen skin', 'face wash', 'sensitive skin', 'makeup removal', 'allergic skin', 'refresh']"
19,La Roche-Posay Toleriane Dermo Cleanser 200ml,"['sensitive skin cleans skin', 'sensitive skin', 'dry sensitive skin', 'sensitive dry skin', 'makeup free skin', 'dry skin', 'gentle face cleanser', 'makeup great cleanser', 'skin', 'clean skin', 'sensitive skin types', 'combination sensitive skin', 'sensitive combination skin', 'extra sensitive skin', 'super sensitive skin', 'sensitive atopic skin', 'gentle cleanser', 'gentle cleansers', 'perfect skin', 'dry intolerant sensitive skin']","['dry skin', 'Combination skin', 'makeup removal', 'sensitive skin', 'allergic skin', 'refresh']"
20,La Roche-Posay Toleriane Sensitive Facial Moisturiser 40ml,"['sensitive skin moisturizer', 'sensitive skin', 'dry sensitive skin', 'skin care products', 'intolerant skin product', 'sensitive skin toleriane', 'sensitive oily skin', 'other sensitive skin', 'dry skin', 'sensitive winter skin', 'sensitive combination skin', 'sensitive skin light', 'sensitive skin feeling', 'sensitive skin types', 'super sensitive skin', 'sensitive reactive skin', 'sensitive skin nit', 'sensitive skin thanks', 'skin', 'such sensitive skin']","['oily skin', 'dry skin', 'sensitive skin', 'Combination skin']"
21,Neutrogena Advanced Acne Serum 30ml,"['skin products', 'skin', 'acne prone skin', 'uneven skin texture', 'normal skin', 'acne troubled skin pimples dark spots', 'sensitive skin', 'redness skin irritation', 'skin hydrated cleanse', 'neutrogena advanced acne serum', 'dirty dead skin cells', 'expensive acne serums', 'serum', 'neutrogena advanced acne cleanser', 'other products', 'good product', 'neutrogena advanced acne serum neutrogena advancedacne serumneutrogena advanced acne', 'many other anti acne products', 'neutrogena advanced acne cleanser allergy', 't list fragrance']","['redness prone skin', 'acne skin', 'tone evening skin', 'sensitive skin', 'hydrate skin', 'allergic skin', 'refresh']"
22,Neutrogena Alcohol Free Toner 150ml,"['mature skin fresh toner', 'skin', 'sensitive skin', 'problem skin', 'skin companies', 'intense skins', 'acne skin', 'part', 'great product', 'alcohol based toners', 'other toners', 'gentle product', 'neutrogena alcohol free toner', 'toner', 'toners', 'most toners', 'better toners', 'makeup product', 'a promotion great toner smell', 'a promotion great sized bottle fresh smell']","['acne skin', 'tone evening skin', 'makeup removal', 'smells good', 'sensitive skin', 'refresh']"
23,Neutrogena Beach Defence Sun + Water Sunscreen Lotion SPF 50 198mL,"['great product', 'normal skin product', 'part', 'other products', 'product', 'quality product', 't greasy', 'neutrogena sunscreen lotion smell', 'neutrogena beach defence lotion', 'water sun barrier lotion', 'doesn t', 'didn t', 'w w butyl methoxydibenzoylmethane', 'a promotion neutrogena beach defence sunscreen lotion', 'a promotion neutrogena beach defense sunscreen lotion', 'australia neutrogena beach defence', 't', 'a promotion great product', 'australia logoneutrogena beach defence lotion', 'n beach defence']","['oily skin', 'protect skin', 'smells good']"
24,Neutrogena Beach Defence Sunscreen Spray SPF 50 184g,"['great product', 'easy reapplication', 'normal skin product', 'great smell', 'part', 'great protection', 'non greasy perfect coverage great sun protection', 'product', 'skin greasy', 'whole family sprays', 'mist spray', 'nice smell', 'great coverage', 'high broad spectrum uva uvb protection', 'sensitive skin', 'neutrogena beach defence spray', 'quick and easy awesome sun protection', 'don t', 'the easy application pleasant smell known brand', 'smell']","['oily skin', 'sensitive skin', 'smells good', 'protect skin', 'aging skin']"
25,Neutrogena Blackhead Eliminating Daily Scrub 150ml,"['higher end products blackheads', 'great product', 'great products', 'clear skin', 'skin', 'products', 'other products', 'oily skin', 'much product', 'sensitive skin', 'problem skin', 'most products', 'combination skin', 'rapid clear blackhead scrub', 'blackheads', 'most blackheads', 'new blackheads', 'dermatologists neutrogena blackhead', 'prevent blackheads', 'blackhead fighting ingredients']","['oily skin', 'redness prone skin', 'acne skin', 'Combination skin', 'sensitive skin', 'scrubber']"
26,Neutrogena Deep Clean Facial Cleanser Normal to Oily Skin 200mL,"['skin skin', 'clean skin', 'great skin', 'oily skin', 'fresh skin', 'skin', 'skins', 'dry skin', 'oil skin', 'sensitive skin', 'nice skin', 'clear skin', 'bad skin', 'skin feeling', 'combination skin', 'normal skin', 'skin care', 'oily skin use', 'rough skin', 'skin treatments']","['oily skin', 'dry skin', 'Combination skin', 'sensitive skin', 'refresh']"
27,Neutrogena Deep Clean Invigorating Foaming Scrub 125mL,"['cleaner skin', 'face scrub', 'clean health skin', 'fresh clean leaves skin', 'skin', 'washing skin', 'favorite face scrub', 'soft skin', 'smooth skin', 'skin feeling', 'clean fresh face love', 'dry skin', 'oily skin', 'sensitive skin', 'great product', 'dead skin', 'face wash', 'face washes', 'clear skin', 'skin care']","['oily skin', 'dry skin', 'smoothen skin', 'face wash', 'sensitive skin', 'scrubber', 'refresh']"
28,Neutrogena Hydro Boost Hyaluronic Acid Mask 5 Pack,"['serum face masks', 'hydrating masks', 'mask', 'masks', 'boost hydrating mask', 'sheet masks', 'facial masks', 'home mask', 'hydrogel mask', 'mask material', 'love love love neutrogena face masks', 'most masks', 'hydroboost mask', 'impossible mask', 'fabric facial masks', 'dry skin', 'silicon sheet masks', 'neutrogena hydro boost mask', 'summer brilliant masks', 'several different masks']","['mask', 'dry skin', 'hydrate skin']"
29,Neutrogena Hydro Boost Hyaluronic Acid Nourishing Cream 50g,"['skin hydration', 'skin', 'dry skin', 'sensitive skin', 'agreed skin', 'skin plump', 'skin care', 'skin feeling', 'skin dermatologist', 'ease skin', 'combination skin', 'dry sensitive skin', 'soothe dry skin', 'hydrated85 agreed skin', 'plump79 agreed skin', 'normal oily skin', 'older skin types', 'refreshed plump glowing skin', 'soothe dry skin neutrogena hydro', 'soft plump glowing skin size']","['oily skin', 'dry skin', 'refresh', 'Combination skin', 'smoothen skin', 'sensitive skin', 'hydrate skin', 'glow skin']"
30,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,"['dry skin', 'skin', 'good skin', 'skin hydration', 'oily skin', 'sensitive skin', 'combination skin', 'skin dermatologist', 'clammy skin', 'fair skin', 'super dry skin', 'super oily skin', 'flaky winter skin', 'acne prone skin', 'refreshed plump glowing skin', 'great product', 'refresh plump glowing skin', 'application great product', 'refreshed plump glowing skin size', 'neutrogena products']","['oily skin', 'dry skin', 'acne skin', 'refresh', 'tone evening skin', 'Combination skin', 'sensitive skin', 'hydrate skin', 'glow skin']"
32,Neutrogena Hydro Boost Hydrating Hydrogel Mask 30g,"['hydrating mask', 'mask', 'masks', 'other masks', 'hydrogel mask', 'other sheet masks', 'paper sheet masks', 'favourite mask', 'garnier sheet masks', 'other facial mask', 'other facial masks', 'paper mask doesn t', 'best hydrogen mask', 'skin', 'dry skin', 'sensitive skin', 'nice refreshing smelling mask', 'skin hyaluronic acid size', 'mature dry skin', 'face']","['dry skin', 'mask', 'sensitive skin', 'hydrate skin', 'smells good', 'refresh']"
33,Neutrogena Makeup Remover Cleansing Towelettes Wipes 25 Pack,"['makeup makeup', 'makeup wipe', 'makeup wipes', 'best makeup wipes', 'good makeup wipes', 'skin makeup', 'wipe eye makeup', 'face makeup', 'other makeup wipes', 'other makeup wipe products', 'makeup remover wipes', 'most makeup wipes', 'many makeup wipes', 'affordable makeup wipes', 'other makeup remover wipes', 'multiple makeup wipes', 'previous makeup wipes', 'certain makeup wipes', 'makeup wipes thrses', 'good quality makeup wipes']","['face wash', 'eye concern', 'makeup removal']"
34,Neutrogena Night Calming Makeup Remover Cleansing Towelettes Wipes 25 Pack,"['makeup wipe', 'other makeup wipe brands', 'hand makeup remover wipes', 'great makeup', 'eye makeup', 'makeup', 'great makeup cleansing', 'makeup remover', 'face wipes', 'waterproof makeup', 'makeup removal', 'wipe products', 'tv best makeup remover', 'heavy makeup', 'most makeup', 'more makeup', 'stubborn makeup', 'removes makeup', 'other makeup removers', 'cheaper makeup']","['eye concern', 'hand cream', 'makeup removal', 'face wash', 'refresh']"
35,Neutrogena Norwegian Hand Cream 56g,"['hand hands', 'hand cream products', 'hand cream', 'hand creams', 'lotions hand creams', 'neutrogena hand cream', 'great hand cream', 'best hand cream', 'frequent hand washing hand sanitizer', 'dry hand', 'dry hands', 'other hand creams', 'many hand creams', 'nice hand creams', 'most hand creams', 'different hand creams', 'heavy hand cream', 'daily hand cream', 'regular hand creams', 'numerous hand creams']","['dry skin', 'hand cream', 'face wash']"
36,Neutrogena Oil Free Acne Wash Face Cleanser 175mL,"['combination skin acne prone skin', 'other skin products', 'oily skin', 'skin', 'clear skin', 'prone skin', 'sensitive skin', 'smooth skin', 'acne prone skin', 'beautiful skin', 'smoother skin', 'trouble skin', 'sensitive acne prone skin', 'combination skin thsa', 'dead skin cells', 'long lasting freshness oil free skin', 'acne prone skin size 175ml fragrance', 'neutrogena oil free acne wash', 'based face washes', 'part']","['oily skin', 'acne skin', 'Combination skin', 'smoothen skin', 'sensitive skin', 'face wash', 'refresh']"
37,Neutrogena Oil Free Acne Wash Pink Grapefruit Facial Cleanser 175ml,"['oily skin', 'skin', 'sensitive skin', 'great left skin', 'didn t dry skin', 'problem skin', 'skin barrier', 'difficult skin', 'baby skin', 'acne prone skin', 'bery sensitive skin', 'combo oily skin prevention', 'great product', 'grapefruit products', 'overall great product', 'reviews', 'part', 'acne prone skin size 175ml shelf life', 'more products', 'face cleansers']","['oily skin', 'dry skin', 'acne skin', 'Combination skin', 'sensitive skin', 'refresh']"
38,Neutrogena Oil Free Eye Makeup Remover 112ml,"['eye makeup products', 'eye makeup remover', 'eye makeup removers', 'eye makeup great product', 'eye makeup', 'eyes makeup', 'best eye makeup', 'eye makeup removal products', 'waterproof eye makeup', 'oily eye makeup remover', 'other eye makeup removers', 'many eye makeup removers', 'other eye makeup', 'most eye makeup removers', 'liquid eye makeup removers', 'different eye makeup removers', 'stubborn eye makeup', 'eye makeup doesn t', 'heavy eye makeup', 'eye makeup removal']","['oily skin', 'eye concern', 'makeup removal']"
39,Neutrogena Oil Free Pink Grapefruit Scrub 125ml,"['smooth skin', 'clear skin', 'skin', 'great left skin', 'sensitive skin', 'oily skin', 'acne prone skin product claims', 'acne prone skin', 'didn t dry skin', 'part', 'other face scrubs', 'nice gentle scrub', 'great product', 'other scrubs', 'affordable scrub', 'scrub', 'scrubs', 'products', 'a promotion nice deep scrub', 'salicylic acid neutrogena oil free acne']","['oily skin', 'dry skin', 'acne skin', 'smoothen skin', 'sensitive skin', 'scrubber']"
40,Neutrogena Oil-Free Daily Scrub Acne-Prone Skin 125mL,"['skin', 'clear skin', 'oily skin', 'sensitive skin', 'skin wrinkles', 'dead skin', 'skin feeling', 'combination skin', 'fair skin', 'korean skin brands', 'other neutrogena face scrubs', 'oil free daily scrub', 'neutrogena oil free daily scrub acne prone skin', 'neutrogena oil free daily scrub', 'other scrubs', 'daily scrub', 'other products', 'facial scrubs', 'scrub', 'products']","['oily skin', 'acne skin', 'tone evening skin', 'Combination skin', 'sensitive skin', 'scrubber', 'refresh', 'aging skin']"
41,Neutrogena Rapid Wrinkle Repair Retinol Anti Ageing Eye Cream 14mL,"['eye cream', 'eye creams', 'eye part', 'expensive eye creams', 'many eye creams', 'multiple eye creams', 'neutrogena rapid wrinkle eye cream', 'eye area', 'eyes', 'less eye wrinkles', 'sensitive eyes', 'eye puffiness', 'eye ageing', 'eye concerns', 'neutrogena rapid wrinkle repair anti ageing moisturiser eye cream', 'puffy tired eyes', 'a promotion lovely eye cream skin', 'fine lines wrinkles', 'cream', 'a promotion neutrogena rapid wrinkle repair anti ageing moisturiser eye cream']","['redness prone skin', 'eye concern', 'sensitive skin', 'aging skin']"
42,Neutrogena Rapid Wrinkle Repair Retinol Anti Ageing Moisturiser SPF 15 29mL,"['skin', 'sticky skin', 'skin dermatologist', 'skin clarityin', 'younger looking skin', 'extreme oily skin', 'great product good price', 'neutrogena rapid wrinkle repair anti aging repair moisturiser', 'great reviews', 'fine lines dullness wrinkles', 'neutrogena rapid wrinkle repair night moisturiser', 'products', 'neutrogena rapid wrinkle repair anti ageing moisturiser broad spectrum spf15', 'neutrogena rapid wrinkle', 'neutrogena rapid wrinkle repair eye cream accelerate retinol sa', 'neotrgena rapid wrinkle', 'fine lines', 'wrinkles', 'less wrinkles', 'a promotion neutrogena rapid wrinkle repair anti ageing moisturiser']","['oily skin', 'eye concern', 'tone evening skin', 'aging skin']"
43,Neutrogena Rapid Wrinkle Repair Retinol Anti Ageing Night Moisturiser 29mL,"['skin light wrinkles', 'fine lines skin', 'skin', 'skin looks', 'smoother looking skin', 'skin tone', 'skin type', 'younger looking skin', 'mature skin', 'sensitive skin', 'dry skin', 'skin hydration', 'skin quality', 'ageing skin ladies', '45yr old skin', 'skin surface activity', 'skin nourishing emollients', 'early leaves skin', 'neutrogena rapid wrinkle repair moisturiser', 'neutrogena rapid wrinkle repair anti aging night moisturiser']","['dry skin', 'tone evening skin', 'smoothen skin', 'sensitive skin', 'hydrate skin', 'aging skin']"
44,Neutrogena Rapid Wrinkle Repair Retinol Pro+ Power Serum 30ml,"['retinol serums', 'retinol products', 'other skin', 'skin', 'skins', 'other retinol products', 'neutrogena retinol products', 'many retinol serum', 'skin dermatologist', 'younger looking skin', 'other retinol based products', 'clearer brighter skin', 'sensitive dry skin', 'firmer plumper skin', 'skin nourishing emollients', 'most skin types', 'other retinols', 'retinol', 'retinols', 'much retinol']","['sensitive skin', 'dry skin', 'tone evening skin', 'aging skin']"
45,Neutrogena Rapid Wrinkle Repair Retinol Regenerating Cream 48g,"['skin products', 'expensive skin products', 'neutrogena skin cleansing products', 'skin', 'younger looking skin', 'skin smooth fine lines', 'retinol skin repair', 'dry skin', 'skin texture', 'younger skin', 'sensitive skin', 'aging skin', 'softer smoother skin', 'facial skin', 'faded skin', 'hydrating skin', 'oily skin', 'normal skin', 'good skin texture', 'fresh skin']","['oily skin', 'dry skin', 'smoothen skin', 'sensitive skin', 'hydrate skin', 'refresh', 'aging skin']"
46,Neutrogena Sheer Zinc Face Dry-Touch Sunscreen Lotion SPF50 59mL,"['skin care products', 'neutrogena sheer zinc face lotion', 'dry skin', 'sensitive skin', 'zinc products', 'light skin', 'skin', 'neutrogena sheer zinc face dry touch sunscreen lotion', 'pale skin', 'skin issues', 'skin tone', 'skin hypoallergenic', 'sensative skin', 'irritated skin', 'skin damage', 'sensitive skin types', 'zinc sun protection', 'regular zinc products', 'white face paint', 'possible skin issues']","['dry skin', 'tone evening skin', 'pale skin', 'sensitive skin', 'protect skin', 'allergic skin', 'hypoallergenic ingredients', 'aging skin']"
47,Neutrogena Sheer Zinc Mineral Stick SPF 50 42g,"['w w', 'sensitive skin product', 'vitamin eneutrogena sheer zinc mineral sunscreen stick', 'free application', 'sensitive skin', 'neutrogena sheer zinc mineral sunscreen stick', 'skin', 'vitamin e hypoallergenicneutrogena sheer zinc mineral sunscreen stick', 're application', 'zinc oxide', 'high sun protection', '4hr water resistance hypoallergenic ingredients zinc oxide', 'eye lids', 'eyes', 'great protection', 'doesn t', 'the go application non comedogenic fragrance free dye', 'don t', 'stick', 't']","['eye concern', 'redness prone skin', 'sensitive skin', 'protect skin', 'allergic skin', 'hypoallergenic ingredients']"
